tripduration,starttime,stoptime,start station latitude,start station longitude,end station latitude,end station longitude,bikeid,usertype,birth year,gender
260,02:53.9,07:14.6,40.71958612,-74.04311746,40.72759597,-74.04424731,26314,Subscriber,1964,1
285,05:38.6,10:24.2,40.7311689,-74.0575736,40.73478582,-74.05044364,26238,Subscriber,1986,2
501,05:43.6,14:05.5,40.71958612,-74.04311746,40.7112423,-74.0557013,29645,Subscriber,1995,1
556,07:57.1,17:13.9,40.7241765,-74.0506564,40.72572614,-74.07195926,29221,Customer,1992,1
321,11:44.6,17:05.6,40.72165072,-74.04288411,40.72165072,-74.04288411,29591,Subscriber,1988,1
378,12:19.6,18:38.2,40.71958612,-74.04311746,40.7192517,-74.034234,26160,Subscriber,1988,2
363,12:35.2,18:39.2,40.71958612,-74.04311746,40.7192517,-74.034234,29452,Subscriber,1987,1
122,20:44.5,22:46.7,40.71958612,-74.04311746,40.72163014,-74.04996783,29253,Subscriber,1970,1
1705,20:50.6,49:16.6,40.71958612,-74.04311746,40.71942,-74.05099,26278,Subscriber,1986,1
170,20:54.8,23:45.8,40.71958612,-74.04311746,40.72163014,-74.04996783,29540,Subscriber,1990,1
450,43:50.2,51:20.3,40.7177325,-74.043845,40.7112423,-74.0557013,26180,Subscriber,1995,1
198,01:38.7,04:57.5,40.72165072,-74.04288411,40.72759597,-74.04424731,29258,Subscriber,1984,2
462,02:08.5,09:51.4,40.72533993,-74.06762213,40.72572614,-74.07195926,29669,Subscriber,1986,1
1086,07:05.2,25:11.7,40.72755147,-74.07106072,40.74871595,-74.0404433,26225,Subscriber,1958,1
476,14:16.0,22:12.1,40.7311689,-74.0575736,40.74590997,-74.05727148,26257,Subscriber,1969,1
234,18:16.2,22:11.1,40.71649,-74.04105,40.7192517,-74.034234,26222,Customer,1976,1
337,28:25.9,34:03.6,40.7177325,-74.043845,40.7127742,-74.0364857,29539,Subscriber,1977,1
217,37:14.9,40:52.6,40.7177325,-74.043845,40.71517768,-74.03768331,26288,Subscriber,1976,1
154,57:03.0,59:38.0,40.7242941,-74.0354826,40.7192517,-74.034234,29488,Customer,1995,1
170,40:00.3,42:51.2,40.72165072,-74.04288411,40.72759597,-74.04424731,29591,Subscriber,1994,1
510,16:48.3,25:18.5,40.72152515,-74.04630454,40.71346383,-74.06285852,26305,Customer,1995,2
241,06:43.4,10:45.1,40.7192517,-74.034234,40.7272235,-74.0337589,26222,Subscriber,1964,1
357,27:34.9,33:32.1,40.7127742,-74.0364857,40.71653978,-74.04963791,26267,Subscriber,1992,1
520,49:04.5,57:44.5,40.7272235,-74.0337589,40.72759597,-74.04424731,26222,Subscriber,1962,1
